Category,Item Name,Price,Description,Veg/Non-veg,Rating,Restaurant Index
Recommended,Chicken Fry Roll,130,Yummy Tawa Chicken Fry With Delicious Garnishing Rolled In Your Favorite Base.,Non-veg,4.0,1
Recommended,Chicken Keema Roll,140,Minced Chicken Seasoned With Aromatic Spices Rolled Up In Your Favorite Base.,Non-veg,4.0,1
Recommended,Chicken Hot Garlic Roll,150,A Perfect Combination Of Tender Chicken And Hot Garlic Spicy Sauce Rolled Up In Your Favorite Base.,Non-veg,4.0,1
Recommended,Chicken Hariyali Roll,150,A Punjabi Chicken Recipe With Chicken Cubes Cooked In A Creamy Green Chutney Rolled To Perfection!,Non-veg,4.0,1
Recommended,Paneer Cheesy Masala Roll,170,King Sized Paneer & Melted Cheese Masala Roll For King Sized Hunger!,Veg,4.0,1
Recommended,Double Omelette Chicken Roll,170,A Fullfilling King Sized Roll Made With Double Egg Omelette And Stuffed With Some Juicy Chicken.,Non-veg,4.0,1
Recommended,Double Chicken Roll,190,Juicy Chunks Of Loaded Chicken Rolled Up In A Fulfilling Roll!,Non-veg,4.0,1
Recommended,Double Chicken Omelette Roll,210,A Perfect Roll Made With Single Egg Omelette And Stuffed With Loads Of Juicy Chicken!,Non-veg,4.0,1
Recommended,Double Omelette Double Chicken Roll,230,Our King Sized Special Double Omelette Loaded With Juicy Extra Chicken Chunks,Non-veg,4.0,1
Recommended,French Fries,90,Classic Crispy Salted Fries.,Veg,4.0,1
Recommended,Cheesyy  Barbeque Fries,160,Crispy Salted Fries Topped With Cheesy Barbecue Sauce.,Veg,4.0,1
Recommended,Chilly Garlic Jalapeno Fries,160,Crispy Fries Topped With Spiced Chilly Garlic Jalapenos-Sauce.,Veg,4.0,1
Recommended,Chili Garlic Poppers,100,Chilli Garlic Potato Bites Seasoned With Delicious Flavors!,Veg,4.0,1
Recommended,Cheese Poppers,110,Delicious Little Cheese Poppers Which Make A Great Snack For Any Party.,Veg,4.0,1
Recommended,Chicken Popcorn,110,Crispy Crunchy Bite Sized Chicken Snack You Will Love!,Non-veg,4.0,1
Recommended,Chicken Cheese Nuggets,120,Chicken Cheese Nuggets,Non-veg,4.0,1
Recommended,Iced Tea Peach,80,Substitute Regular Tea With Some Peach And Ice Cubes.,Veg,4.0,1
Recommended,Iced Tea Lemon,80,Substitute Regular Tea With Some Fresh Lemons And Ice Cubes.,Veg,4.0,1
Recommended,Cold Coffee,90,"For All The Caffeine Lovers - A Creamy, Frothy Cold Coffee!",Veg,4.0,1
Recommended,Blue Lagoon,90,A Blend Of Sweet And Sour This One Is A Perfect Refreshing Drink.,Veg,4.0,1
Recommended,Mint Mojito,90,This Classic Mint Mojito Is Favorite Of All!,Veg,4.0,1
Recommended,Pink Tango,90,"Famous For Its Refreshing Taste And Its Tang, This One Will Win Your Heart.",Veg,4.0,1
Recommended,Strawberry Frappe,110,A Perfect Blend Of Strawberry Essence And Thick Milk.,Veg,4.0,1
Recommended,Butterscotch Frappe,110,A Perfect Blend Of Strawberry Essence And Thick Milk.,Veg,4.0,1
Recommended,Chocolate Frappe,160,Chocolate And Thick Creamy Milk Blended To Perfection.,Veg,4.0,1
New Arrivals,Mutton Galouti Roll,270,Mutton Galouti Roll,Non-veg,4.0,1
New Arrivals,Mutton Kheema Roll,250,Mutton Kheema Roll,Non-veg,4.0,1
New Arrivals,Mutton Seekh Roll,210,Mutton Seekh Roll,Non-veg,4.0,1
New Arrivals,Hara Bhara Kebab Roll,180,Hara Bhara Kebab Roll,Veg,4.0,1
New Arrivals,Amritsari Chole Roll,130,"Spiced Tangy Chickpea Curry, Chole The Most Popular Punjabi Dish Rolled In Your Favorite Base Wrap",Veg,4.0,1
New Arrivals,Rajma Masala Roll,130,"Most Popular North Indian Creamy, Tangy and Spiced Curry with Kidney Beans Rolled In Your Favorite Base Wrap.",Veg,4.0,1
RM Meal Box,Amritsari Chole Meal Box,189,"Spiced Tangy Chickpea Curry, The Most Popular Punjabi Dish Liked By All. Served With 2 Parathas And Salad To Complete Your Meal.",Veg,4.0,1
RM Meal Box,Rajma Masala Meal Box,189,"Most Popular North Indian Creamy, Tangy and Spiced Curry with Kidney Beans. Served With 2 Parathas And Salad To Complete Your Meal.",Veg,4.0,1
RM Meal Box,Paneer Mughlai Meal Box,229,Fresh Cottage Cheese With Creamy Brown Onion Gravy Cooked In Mughlai Style. Served With 2 Parathas And Salad To Complete Your Meal.,Veg,4.0,1
RM Meal Box,Paneer Bhuna Meal Box,229,Cottage Cheese Sautéed In Bhuna Masala Served With 2 Parathas And Salad To Complete Your Meal.,Veg,4.0,1
RM Meal Box,Paneer Makhani Meal Box,249,Fresh Cottage Cheese Cooked In Secret Makhani Gravy Served With 2 Parathas And Salad To Complete Your Meal.,Veg,4.0,1
RM Meal Box,Chicken Kheema Meal Box,229,Minced Juicy Chicken Cooked With Aromatic Spices. Served with 2 Parathas And Salad To Complete Your Meal.,Non-veg,4.0,1
RM Meal Box,Chicken Mughlai Meal Box,229,Creamy Brown Onion Gravy With Tender Chicken Chunks Cooked In Mughlai Style. Served With 2 Parathas And Salad To Complete Your Meal.,Non-veg,4.0,1
RM Meal Box,Chicken Bhuna Meal Box,229,Tender Chicken Sautéed In Bhuna Masala. Served With 2 Parathas And Salad To Complete Your Meal.,Non-veg,4.0,1
RM Meal Box,Butter Chicken Meal Box,249,The Most Popular Punjabi Recipe - Butter Chicken. Served With 2 Parathas And Salad To Complete Your Meal.,Non-veg,4.0,1
RM Meal Box,Mutton Galouti Meal Box,349,"EXTRA SPICY 
Juicy Mouth-Watering Mutton Galouti Kebabs Topped With Secret Dressing Served With 2 Parathas And Salad/Green Chutney To Complete Your Meal.",Non-veg,4.0,1
RM Meal Box,Amritsari Chole Rice Box,239,"Spiced Tangy Chickpea Curry, The Most Popular Punjabi Dish Liked By All Served With Aromatic Basmati Rice And Salad To Complete Your Meal.",Veg,4.0,1
RM Meal Box,Rajma Masala Rice Box,239,"Most Popular North Indian Creamy, Tangy and Spiced Curry with Kidney Beans Served With Aromatic Basmati Rice And Salad To Complete Your Meal.",Veg,4.0,1
RM Meal Box,Dal Makhani Rice Box,239,Rich Creamy & Buttery Dal Makhani Served With Aromatic Basmati Rice And Salad To Complete Your Meal.,Veg,4.0,1
RM Meal Box,Paneer Bhuna Rice Box,259,Cottage Cheese Sautéed In Bhuna Masala Served With Aromatic Basmati Rice And Salad To Complete Your Meal.,Veg,4.0,1
RM Meal Box,Paneer Makhani Rice Box,279,Fresh Cottage Cheese Cooked In Secret Makhani Gravy Served With Aromatic Basmati Rice And Salad To Complete Your Meal.,Veg,4.0,1
RM Meal Box,Chicken Bhuna Rice Box,259,Tender Chicken Sautéed In Bhuna Masala Served With Aromatic Basmati Rice And Salad To Complete Your Meal.,Non-veg,4.0,1
RM Meal Box,Butter Chicken Rice Box,279,The Most Popular Punjabi Recipe - Butter Chicken Served With Aromatic Basmati Rice And Salad To Complete Your Meal.,Non-veg,4.0,1
RM Meal Box,Mutton Galouti Rice Box,349,"EXTRA SPICY 
Juicy Mouth-Watering Mutton Galouti Kebabs Topped With Secret Gravy Served With Aromatic Basmati Rice And Salad/Green Chutney To Complete Your Meal.",Non-veg,4.0,1
Regular Combos,Two Rolls @ 149,149,Savings up to 20%! on the Combo of Two Rolls.,Veg,4.0,1
Regular Combos,Two Veg Roll @ 209,209,Savings up to 20%! on the Combo of Two Veg - Rolls.,Veg,4.0,1
Regular Combos,2 Non-Veg Roll @ 209,209,Savings up to 20%! on the Combo of Two Non - Veg Rolls.,Non-veg,4.0,1
Regular Combos,Two Veg Rolls @ 259,259,Savings up to 20%! on the Combo of Two Veg Rolls.,Veg,4.0,1
Regular Combos,Two Non-Veg Rolls @ 259,259,Savings up to 20%! on the Combo of Two Non - Veg Rolls.,Non-veg,4.0,1
None,Paneer Masala Saver Mania,320,Savings  up to 20%! on Paneer Masala Roll + Cheese Poppers(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + Cold Coffee Combo,Veg,4.0,1
None,Paneer Mughlai Saver Mania,320,Savings  up to 20%! on Paneer Mughlai  Roll + Cheese Poppers(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + Cold Coffee Combo,Veg,4.0,1
None,Paneer Chilli Saver Mania,320,Savings  up to 20%! on Paneer Chilli Roll + Cheese Poppers(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + Cold Coffee Combo,Veg,4.0,1
None,Cheesy BBQ Paneer Saver Mania,320,Savings  up to 20%! on Cheesy BBQ Paneer Roll + Cheese Poppers + Chilli Garlic Poppers + French Fries + Cold Coffee Combo,Veg,4.0,1
None,Chicken Chilli Saver Mania,350,Savings  up to 20%! on Chicken Chilli Roll + Chicken Popcorn + Chilli Garlic Poppers + French Fries + Cold Coffee Combo,Non-veg,4.0,1
None,Chicken Mughlai Saver Mania,350,Savings up to 20%! on Chicken Mughlai Roll + Chicken Popcorn(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + Cold Coffee Combo,Non-veg,4.0,1
None,Butter Chicken Saver Mania,350,Savings  up to 20%! on Butter Chicken Roll + Chicken Popcorn(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + Cold Coffee Combo,Non-veg,4.0,1
None,Cheesy BBQ Chicken Saver Mania,350,Savings  up to 20%! on Cheesy BBQ Chicken Roll + Chicken Popcorn(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + Cold Coffee Combo,Non-veg,4.0,1
None,Chicken Bhuna Saver Mania,350,Savings  up to 20%! on Chicken Bhuna Roll + Chicken Popcorn(Half) +Chilli Garlic Poppers(Half)+ French Fries(Half) + Cold Coffee Combo,Non-veg,4.0,1
None,Paneer Masala Roll  + Cheesy BBQ Paneer Roll Saver Mania,520,Savings  up to 20%! on Paneer Masala Roll + Cheesy BBQ Paneer Roll + Cheese Poppers(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + 2 Ice Tea Combo,Veg,4.0,1
None,Paneer Mughlai Roll + Paneer Chilli Roll Saver Mania,520,Savings  up to 20%! on Paneer Mughlai Roll + Paneer Chilli Roll + Cheese Poppers(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + 2 Ice Tea Combo,Veg,4.0,1
None,Chicken Mughlai Roll + Cheesy BBQ Chicken Roll Saver Mania,550,Savings  up to 20%! on Chicken Mughlai Roll + Cheesy BBQ Chicken Roll + Chicken Popcorn(Half) + Chilli Garlic Poppers(Half) + French Fries(Half) + 2 Ice Tea Combo,Non-veg,4.0,1
None,Chicken Bhuna Roll + Butter Chicken Roll Saver Mania,550,Savings  up to 20%! on Chicken Bhuna Roll +  Butter Chicken Roll + Chicken Popcorn(Half) + Chilli Garlic Poppers(Half)+ French Fries(Half) + 2 Ice Tea Combo,Non-veg,4.0,1
Pocket Friendly Bites,Aloo Fry Roll,60,Mashed Potatoes Sautéed In Secret Spices Rolled To Perfection In Your Favorite Base Wrap,Veg,4.0,1
Pocket Friendly Bites,Aloo Chili Roll.,70,Mashed Potatoes Seasoned And Wrapped With Spicy Chilies In Your Favorite Base Wrap.,Veg,4.0,1
Pocket Friendly Bites,Mix Veg Roll.,80,Fresh Veggies Wrapped With Yummy Sauces & Garnishing In Your Favorite Base Wrap.,Veg,4.0,1
Pocket Friendly Bites,Egg Omelette Roll.,70,A Quick Breakfast Choice Of Single Omlette And Delicious Wrapping In Your Favorite Base Wrap.,Non-veg,4.0,1
Pocket Friendly Bites,Double Egg Omelette Roll.,80,Double Layered Omlette Wrapped In A Quick Breakfast Roll.,Non-veg,4.0,1
Popular Fusion Bites,Aloo Cheese Roll,110,Your Favorite Aloo Roll With Lots Of Melted Cheese-Wrapped In Your Favorite Base Wrap.,Veg,4.0,1
Popular Fusion Bites,Vegetable Cheese Roll,130,Fresh Vegetables Tossed In Yum Sauces With Lots Of Melted Cheese Wrapped In Your Favorite Base Wrap.,Veg,4.0,1
Popular Fusion Bites,Veg Paneer Roll,130,Fresh Veggies With Paneer Wrapped In One Delicious Roll!,Veg,4.0,1
Popular Fusion Bites,Cheesy Corn Roll,140,A Combination Of American Corn With Loads Of Gooey Cheese Rolled In Your Favorite Base.,Veg,4.0,1
Popular Fusion Bites,Paneer Mayonnaise Roll,150,A Classic Combination Of Fresh Paneer Chunks And Delish Mayonnaise Rolled In Your Favorite Base.,Veg,4.0,1
Popular Fusion Bites,Paneer Mughlai Roll,160,Fresh Paneer Chunks Rolled In Creamy Brown Onion Gravy Cooked In Mughlai Style,Veg,4.0,1
Popular Fusion Bites,Cheesy Barbeque Paneer Roll,180,"Paneer With Barbecue Sauce, Gooey Cheese Rolled To Perfection",Veg,4.0,1
Popular Fusion Bites,Paneer Makhani Roll,180,Classic Paneer Makhani Recipe Rolled In Your Favorite Base Wrap.,Veg,4.0,1
Popular Fusion Bites,Chicken Mayonnaise Roll,140,A Classic Combination Of Tender Chicken Chunks With Mayonnaise Deliciously Rolled In Your Favorite Base Wrap.,Non-veg,4.0,1
Popular Fusion Bites,Chicken Mughlai Roll,160,Creamy Brown Onion Gravy With Tender Chicken Chunks Cooked In Mughlai Style And Rolled In Your Choice Of Base.,Non-veg,4.0,1
Popular Fusion Bites,Chicken Cheese Roll,170,Yummy Chicken Rolled With Lots Of Melted Cheese - What A Hit!,Non-veg,4.0,1
Popular Fusion Bites,Butter Chicken Roll,180,The Most Popular Recipe On Our Menu - Butter Chicken Roll Is A Hit!,Non-veg,4.0,1
Popular Fusion Bites,Cheesy Barbeque Chicken Roll,180,Delicious BBQ Chicken With Lots Of Melted Cheese And Yum Sauces Rolled In Your Favorite Base Wrap.,Non-veg,4.0,1
Popular Fusion Bites,Soya Chaap Mughlai Roll,160,"Creamy Brown Onion Gravy Combined With Fresh Soya Chaap, Rolled In Goodness!",Veg,4.0,1
Popular Fusion Bites,Soya Chaap Makhani Roll,180,A Delicious Combination Of Soya Chaap In Creamy Makhani Gravy Wrapped In Your Favourite Base!,Veg,4.0,1
Popular Fusion Bites,Cheesy BBQ Soya Chaap Roll,180,"An Awesome Combination Of BBQ Sauce, Gooey Cheese With Fresh Soya Chaap Rolled In Your Favourite Base!",Veg,4.0,1
Spicy Delight,Mushroom Chili Roll,140,"Mushrooms, Chilies And Chinese Sauces - Make Into A Yummy Roll!",Veg,4.0,1
Spicy Delight,Cheese Chili Manchurian Roll,140,A Delicious Indo-Chinese Recipe With Manchurian Cheese Chunks Rolled To Perfection.,Veg,4.0,1
Spicy Delight,Paneer Chili Roll,140,Paneer Made With Chilies And Delicious Sauces Rolled Into One!,Veg,4.0,1
Spicy Delight,Paneer Bhuna Roll,160,Paneer Sautéed In Bhuna Masala - Wrapped In Your Favorite Base Wrap.,Veg,4.0,1
Spicy Delight,Soya Chaap Bhuna Roll,160,Fresh Soya Chaap Sautéed In Our Secret Bhuna Masala Rolled In Your Favourite Base!,Veg,4.0,1
Spicy Delight,Chicken Chili Roll,140,Chicken Cooked With Chillies In Chinese Sauces And Deliciously Wrapped,Non-veg,4.0,1
Spicy Delight,Chicken Bhuna Roll,160,Tender Chicken Sautéed In Bhuna Masala And Spices And then Wrapped - A Total Win!,Non-veg,4.0,1
All Day Bites,Paneerr Masala Roll,130,"Paneer, Tomatoes, Onions And Variety Of Spices Rolled Up To Perfection!",Veg,4.0,1
All Day Bites,Mushroom Masala Roll,130,Mushrooms Sauteed In Yummy Masala Rolled In One Perfect Roll!,Veg,4.0,1
All Day Bites,Cheese Masala Rolls,130,A Combination Of Melted Cheese And Our Secret Masala Rolled Up In Your Favorite Base,Veg,4.0,1
All Day Bites,Soya Chaap Masala Roll,130,Fresh Soya Chaap Seasoned With Masala Rolled To Perfection  In Your Favourite Base!,Veg,4.0,1
All Day Bites,Paneer Hot Garlic Roll,150,A Combination Of Fresh Paneer And Hot Garlic Spicy Sauce Rolled Up In Your Favorite Base.,Veg,4.0,1
All Day Bites,Paneer Hariyali Roll,150,A Punjabi Paneer Recipe Cooked In A Creamy Green Chutney Rolled With Chunks Of Paneer.,Veg,4.0,1
All Day Bites,Chicken Fry Roll,130,Yummy Tawa Chicken Fry With Delicious Garnishing Rolled In Your Favorite Base.,Non-veg,4.0,1
All Day Bites,Chicken Keema Roll,140,Minced Chicken Seasoned With Aromatic Spices Rolled Up In Your Favorite Base.,Non-veg,4.0,1
All Day Bites,Chicken Hot Garlic Roll,150,A Perfect Combination Of Tender Chicken And Hot Garlic Spicy Sauce Rolled Up In Your Favorite Base.,Non-veg,4.0,1
All Day Bites,Chicken Hariyali Roll,150,A Punjabi Chicken Recipe With Chicken Cubes Cooked In A Creamy Green Chutney Rolled To Perfection!,Non-veg,4.0,1
All Day Bites,Aloo Mughlai Roll,80,Aloo Mughlai Roll,Veg,4.0,1
All Day Bites,Aloo Mughlai with Egg,90,Aloo Mughlai with Egg,Non-veg,4.0,1
All Day Bites,Aloo Bhuna Roll,80,Aloo Bhuna Roll,Veg,4.0,1
All Day Bites,Aloo Bhuna with Egg,90,Aloo Bhuna with Egg,Non-veg,4.0,1
All Day Bites,Aloo Mayonnaise Roll,60,Aloo Mayonnaise Roll,Veg,4.0,1
All Day Bites,Aloo Mayonnaise with Egg,70,Aloo Mayonnaise with Egg,Non-veg,4.0,1
All Day Bites,Aloo Tangy Roll,60,Aloo Tangy Roll,Veg,4.0,1
All Day Bites,Aloo Tangy with Egg,70,Aloo Tangy with Egg,Non-veg,4.0,1
All Day Bites,Double Chicken Cheese Roll,190,Double Chicken Cheese Roll,Non-veg,4.0,1
All Day Bites,Double Chicken Cheese with Egg,200,Double Chicken Cheese with Egg,Non-veg,4.0,1
All Day Bites,Mushroom Mughlai Roll,140,Mushroom Mughlai Roll,Veg,4.0,1
All Day Bites,Mushroom Mughlai with Egg,150,Mushroom Mughlai with Egg,Non-veg,4.0,1
All Day Bites,Soya Chaap Chilly Roll,120,Soya Chaap Chilly Roll,Veg,4.0,1
All Day Bites,Soya Chaap Chilly Roll with Egg,130,Soya Chaap Chilly Roll with Egg,Non-veg,4.0,1
King Size Bites,Paneer Cheesy Masala Roll,170,King Sized Paneer & Melted Cheese Masala Roll For King Sized Hunger!,Veg,4.0,1
King Size Bites,Double Omelette Chicken Roll,170,A Fullfilling King Sized Roll Made With Double Egg Omelette And Stuffed With Some Juicy Chicken.,Non-veg,4.0,1
King Size Bites,Double Chicken Roll,190,Juicy Chunks Of Loaded Chicken Rolled Up In A Fulfilling Roll!,Non-veg,4.0,1
King Size Bites,Double Chicken Omelette Roll,210,A Perfect Roll Made With Single Egg Omelette And Stuffed With Loads Of Juicy Chicken!,Non-veg,4.0,1
King Size Bites,Double Omelette Double Chicken Roll,230,Our King Sized Special Double Omelette Loaded With Juicy Extra Chicken Chunks,Non-veg,4.0,1
Fries Mania,French Fries,90,Classic Crispy Salted Fries.,Veg,4.0,1
Fries Mania,Cheesyy  Barbeque Fries,160,Crispy Salted Fries Topped With Cheesy Barbecue Sauce.,Veg,4.0,1
Fries Mania,Chilly Garlic Jalapeno Fries,160,Crispy Fries Topped With Spiced Chilly Garlic Jalapenos-Sauce.,Veg,4.0,1
Fries Mania,Butter Chicken Fries,180,Golden Crispy Fries With India's Most Popular Butter Chicken Gravy Is One Of Our Best-Sellers.,Non-veg,4.0,1
Fries Mania,Punjabi Fries,180,Crispy Golden French Fries Tossed In Our Rich & Creamy Secret Makhani Gravy With Chunks Of Paneer!,Veg,4.0,1
Accompaniments,Chili Garlic Poppers,100,Chilli Garlic Potato Bites Seasoned With Delicious Flavors!,Veg,4.0,1
Accompaniments,Cheese Poppers,110,Delicious Little Cheese Poppers Which Make A Great Snack For Any Party.,Veg,4.0,1
Accompaniments,Chicken Popcorn,110,Crispy Crunchy Bite Sized Chicken Snack You Will Love!,Non-veg,4.0,1
Accompaniments,Chicken Cheese Nuggets,120,Chicken Cheese Nuggets,Non-veg,4.0,1
Beverages,Iced Tea Peach,80,Substitute Regular Tea With Some Peach And Ice Cubes.,Veg,4.0,1
Beverages,Iced Tea Lemon,80,Substitute Regular Tea With Some Fresh Lemons And Ice Cubes.,Veg,4.0,1
Beverages,Cold Coffee,90,"For All The Caffeine Lovers - A Creamy, Frothy Cold Coffee!",Veg,4.0,1
Beverages,Blue Lagoon,90,A Blend Of Sweet And Sour This One Is A Perfect Refreshing Drink.,Veg,4.0,1
Beverages,Mint Mojito,90,This Classic Mint Mojito Is Favorite Of All!,Veg,4.0,1
Beverages,Pink Tango,90,"Famous For Its Refreshing Taste And Its Tang, This One Will Win Your Heart.",Veg,4.0,1
Beverages,Strawberry Frappe,110,A Perfect Blend Of Strawberry Essence And Thick Milk.,Veg,4.0,1
Beverages,Butterscotch Frappe,110,A Perfect Blend Of Strawberry Essence And Thick Milk.,Veg,4.0,1
Beverages,Chocolate Frappe,160,Chocolate And Thick Creamy Milk Blended To Perfection.,Veg,4.0,1
Beverages,Masala Lemonade,70,Masala Lemonade,Veg,4.0,1
Recommended,Shahi Veg Biryani (Half),149,Long grained aromatic rice cooked with flavorsome spices. Served with Complimentary - Masala Raita (Small),Veg,4.2,2
Recommended,Shahi Veg Biryani (Full),229,Long grained aromatic rice cooked with flavorsome spices. Served with Complimentary - Masala Raita (Half),Veg,4.2,2
Recommended,Dal Arhar Tadka (Amul),170,"Our signature dish. Arhar Dal tempered with onion, tomato, garlic, cumin seeds & kashmiri red chilli in Amul Butter",Veg,4.2,2
Recommended,Dal Makhni,190,"India's most loved and sought-after Dal. Lentils slowly simmered in a very aromatic buttery, creamy tomato base",Veg,4.2,2
Recommended,Kaju Korma,310,Fried Cashew cooked in rich gravy loved by the people of Prayagraj,Veg,4.2,2
Recommended,Mushroom Do Pyaza,280,"Mushroom do pyaza recipe is a flavorsome, delightful dish featuring mushroom cooked with lightly caramelized onions and spices",Veg,4.2,2
Recommended,Paneer Butter Masala,260,All time favorite. Luscious combination of paneer and exotic tomato gravy topped with butter and cream,Veg,4.2,2
Recommended,Paneer Tikka Masala (Gravy),290,"Soft and fresh paneer cubes cooked in creamy, thick gravy flavored with spices",Veg,4.2,2
Recommended,Kadhai Paneer,270,Paneer cubes dunked in tangy and spicy gravy mixed with capsicum and onion,Veg,4.2,2
Recommended,Shahi Paneer,250,Our specialty dish. Fresh cubes of paneer dunked in delicious rich and creamy gravy,Veg,4.2,2
Recommended,Baingan Bharta,130,Baingan roasted in charcoal fire then stir fried with aromatic spices,Veg,4.2,2
Recommended,Chole,130,"Rich, flavorful north Indian delicacy of kabuli chana",Veg,4.2,2
Recommended,Missi Roti,40,"Tasty flatbread with gram flour topped with onion, garlic, coriander & cumin seeds",Veg,4.2,2
Recommended,Methi Paratha,80,"Indian flatbread made with wheat flour, spices and fenugreek leaves (methi leaves)",Veg,4.2,2
Recommended,Garlic Naan,95,"A classic refined flour bread with chopped garlic and coriander, cooked in tandoor",Veg,4.2,2
Recommended,Masala Boondi Raita,80,Crispy Haldiram boondi combined with curd and seasoned with raita spices,Veg,4.2,2
Recommended,Kheer Mewa Special,75,"Rich, delicious Indian rice pudding topped with dry fruits",Veg,4.2,2
Biryani,Shahi Veg Biryani (Half),149,Long grained aromatic rice cooked with flavorsome spices. Served with Complimentary - Masala Raita (Small),Veg,4.2,2
Biryani,Shahi Veg Biryani (Full),229,Long grained aromatic rice cooked with flavorsome spices. Served with Complimentary - Masala Raita (Half),Veg,4.2,2
Biryani,1/2 Shahi Veg Biryani + Gulab Jamun (1 Pc.),189,Served with Complimentary - Masala Raita (Small),Veg,4.2,2
Biryani,1 Shahi Veg Biryani + Gulab Jamun (2 Pcs.),299,Served with Complimentary - Masala Raita (Half),Veg,4.2,2
Combos,1/2 Dal Arhar Fry + 2 Tandoori Roti Butter,138,All time favorite!,Veg,4.2,2
Combos,1 Kheer Mewa Special + Gulab Jamun (2 Pcs.),139,Meethe ka double delight!,Veg,4.2,2
Combos,1/2 Dal Arhar Fry + 2 Tandoori Roti + 1/4 Rice,168,Hunger saviour!,Veg,4.2,2
